start_station_name,member_casual,number_of_rides
Public Rack - Claremont Ave & 71st St,member,1
Public Rack - Clyde Ave & 87th St,casual,1
Public Rack - Clyde Ave & 87th St,member,1
Public Rack - Cottage Grove Ave & 111th St,member,1
Public Rack - Cottage Grove Ave & 75th St,member,1
Public Rack - Cottage Grove Ave & 92nd St,member,1
Public Rack - Crandon Ave & 80th St,casual,1
Public Rack - Damen Ave & 80th St,member,1
Public Rack - Devon Ave & Central Ave,casual,1
Public Rack - Devon Ave & Central Ave,member,1
Public Rack - East End Ave & 75th St,member,1
Public Rack - Elizabeth St & 115th St,casual,1
Public Rack - Ellis Ave & 132nd Pl,casual,1
Public Rack - Elston Ave & Gunnison St,casual,1
Public Rack - Ewing Ave & 101st St,member,1
Public Rack - Ewing Ave & 102nd St,casual,1
Public Rack - Ewing Ave & 106th St NW,member,1
Public Rack - Ewing Ave & 95th St,member,1
Public Rack - Ewing Ave & 96th St N,casual,1
Public Rack - Ewing Ave & 96th St N,member,1
Public Rack - Ewing Ave & 96th St S,member,1
Public Rack - Ewing Ave & 99th St,member,1
Public Rack - Ewing Ave & Indianapolis Ave,casual,1
Public Rack - Forest Glen & Peterson,casual,1
Public Rack - Foster Ave & Drake Ave,member,1
Public Rack - Green St & 103rd St,member,1
Public Rack - Hale Ave & 111th St,member,1
Public Rack - Halsted St & 102nd St,casual,1
Public Rack - Halsted St & 109th St,casual,1
Public Rack - Halsted St & 111th St,member,1
Public Rack - Halsted St & 113th St,casual,1
Public Rack - Halsted St & 63rd St,casual,1
Public Rack - Halsted St & 80th St,member,1
Public Rack - Halsted St & 95th St - SW,casual,1
Public Rack - Harlem & Palatine,casual,1
Public Rack - Harlem & Summerdale,casual,1
Public Rack - Hiawatha & Mendota,casual,1
Public Rack - Hiawatha & Mendota,member,1
Public Rack - Homan & 77th,casual,1
Public Rack - Homan & 79th,member,1
Public Rack - Homan Ave & Roosevelt,member,1
Public Rack - Horner & 85th,casual,1
Public Rack - Houston Ave & 130th St,casual,1
Public Rack - Houston Ave & 130th St,member,1
Public Rack - Houston Ave & 91st St,member,1
Public Rack - Imlay & Milwaukee,casual,1
Public Rack - Independence Blvd & Roosevelt,member,1
Public Rack - Irving Park Rd & Austin Ave,member,1
Public Rack - James Madison School,member,1
Public Rack - Jeffery Blvd & 67th St,member,1
Public Rack - Jeffery Blvd & 83rd St,member,1
Public Rack - Kedvale Ave & 63rd St,casual,1
Public Rack - Kedvale Ave & 63rd St E,casual,1
Public Rack - Kedzie & 71st,casual,1
Public Rack - Kedzie & 73rd,casual,1
Public Rack - Kedzie Ave & 64th St - SE,member,1
Public Rack - Kedzie Ave & Arthington St,member,1
Public Rack - Kedzie Ave & Chicago Ave,member,1
Public Rack - Kedzie Ave & Pershing Rd,casual,1
Public Rack - Kedzie Ave & Walnut St,casual,1
Public Rack - Kedzie Ave &amp; 62nd Pl,casual,1
Public Rack - Kedzie Ave &amp; 62nd Pl,member,1
Public Rack - Keef Ave & South Chicago Ave,casual,1
Public Rack - Keef Ave & South Chicago Ave,member,1
Public Rack - Keeler Ave & 26th St,member,1
Public Rack - Keeler Ave & 55th St,member,1
Public Rack - Kenneth & Carmen,member,1
Public Rack - Kenneth Ave & 63rd St W,member,1
Public Rack - Kildare Ave & 63rd St,member,1
Public Rack - Kildare Ave & Washignton Blvd,member,1
Public Rack - Kimball & Ardmore,member,1
Public Rack - Kingston Ave & 75th St,casual,1
Public Rack - Kinzua Ave & Devon Ave,casual,1
Public Rack - Kinzua Ave & Devon Ave,member,1
Public Rack - Kostner & 83rd,member,1
Public Rack - Kostner & Bryn Mawr,casual,1
Public Rack - Kostner & Peterson,casual,1
Public Rack - Kostner Ave & Lake St,member,1
Public Rack - Lafayette Ave & 87th St - NW,casual,1
Public Rack - Lafayette Ave & 87th St SW,casual,1
Public Rack - Laflin St & 51st St,member,1
Public Rack - Laflin St & 79th St,member,1
Public Rack - Laflin St &51st ST,casual,1
Public Rack - Lake Park Ave & 47th St,casual,1
Public Rack - Langley Ave & 87th St,casual,1
Public Rack - Lavergne Ave & Belle Plaine Ave,casual,1
Public Rack - Lawrence Ave & Kimball Ave,casual,1
Public Rack - Leland Ave & Melvina Ave,member,1
Public Rack - Linder & Elston,member,1
Public Rack - Linder Ave & Archer Ave,member,1
Public Rack - Lockwood & Archer,casual,1
Public Rack - Longwood Dr & 111th St,casual,1
Public Rack - Loomis Blvd & 47th St,casual,1
Public Rack - Loomis Blvd & 83rd St,member,1
Public Rack - Lowe Park,member,1
Public Rack - Lynch & Elston,casual,1
Public Rack - Martin Luther King Dr & 44th St,casual,1
Public Rack - Martin Luther King Dr & 44th St,member,1
Public Rack - Martin Luther King Dr & 69th St,casual,1
Public Rack - Martin Luther King Dr & 69th St,member,1
Public Rack - May St & 78th St,casual,1
Public Rack - May St & 78th St,member,1
Public Rack - McVicker & 52nd,casual,1
Public Rack - Menard Ave & Adams Blvd,casual,1
Public Rack - Menard Ave & Agusta Blvd,member,1
Public Rack - Milwaukee Ave & Catalpa Ave,member,1
Public Rack - Milwaukee Ave & Kennedy Expy,casual,1
Public Rack - Milwaukee Ave & Leland Ave,casual,1
Public Rack - Milwaukee Ave & Sunnyside Ave,casual,1
Public Rack - Mobile Ave & Archer Ave,casual,1
Public Rack - Monticello & Lawrence,member,1
Public Rack - Morgan St & 95th St,casual,1
Public Rack - Mt Greenwood Library - South,member,1
Public Rack - Mt Greenwood Library N,casual,1
Public Rack - N Sayre Ave & W Belden Ave,member,1
Public Rack - Nagel & Higgins,member,1
Public Rack - Nashotah & Northwest Hwy,casual,1
Public Rack - Nashotah & Northwest Hwy,member,1
Public Rack - Neenah & Archer,member,1
Public Rack - Neenah & Dakin,casual,1
Public Rack - Neola & Northwest Hwy,member,1
Public Rack - Neva & Foster,casual,1
Public Rack - Newcastle & Archer,casual,1
Public Rack - Newcastle Ave & Wellington Ave,member,1
Public Rack - Newland Ave & Diversey Ave,member,1
Public Rack - Nina Ave & Avondale Ave,casual,1
Public Rack - Nordica Ave & Addison St,member,1
Public Rack - Normal Ave & 72nd St,casual,1
Public Rack - Normandy Ave & Archer Ave,member,1
Public Rack - Normandy Ave & Raven St,member,1
Public Rack - Northwest Hwy & Highland Ave,casual,1
Public Rack - Northwest Hwy & Neva Ave,member,1
Public Rack - Oak Park & Higgins,member,1
Public Rack - Oak Park Ave & Foster Ave,casual,1
Public Rack - Oak Park Ave & Foster Ave,member,1
Public Rack - Oakley & 79th Pl,casual,1
Public Rack - Oakley Ave & 50th Pl,casual,1
Public Rack - Octavia Ave & Touhy Ave,casual,1
Public Rack - Odell & Talcott,member,1
Public Rack - Oglesby Ave & 95th St,member,1
Public Rack - Oleander Ave & Addison St,casual,1
Public Rack - Osceola Ave & Touhy Ave,casual,1
Public Rack - Ozanam Ave & Devon Ave,casual,1
Public Rack - Panama Ave & Forest Preserve Ave,casual,1
Public Rack - Panama Ave & Forest Preserve Ave,member,1
Public Rack - Parnell Ave & 98th St,casual,1
Public Rack - Paxton Ave & 79th St,member,1
Public Rack - Peoria St & 60th St,member,1
Public Rack - Percy Julian HS,member,1
Public Rack - Perry Ave & 108th Pl,member,1
Public Rack - Perry Ave & 111th St,casual,1
Public Rack - Perry Ave & 111th St,member,1
Public Rack - Princeton Ave & 43rd St,casual,1
Public Rack - Pulaski & 74th,member,1
Public Rack - Pulaski & 84th,casual,1
Public Rack - Pulaski & Rosemont,member,1
Public Rack - Pulaski Rd & 40th St,casual,1
Public Rack - Pulaski Rd & 41st,member,1
Public Rack - Pulaski Rd & Polk St,casual,1
Public Rack - Pulaski Rd & Polk St,member,1
Public Rack - Pulaski Rd &amp; 65th St,member,1
Public Rack - Pullman Community Center,casual,1
Public Rack - Rockwell Ave & 71st St,casual,1
Public Rack - Rockwell Ave & 71st St,member,1
Public Rack - Roscoe St & Osceola Ave,casual,1
Public Rack - Roswell B. Mason Elementary School,casual,1
Public Rack - Rutherford & 53rd,casual,1
Public Rack - Rutherford Ave & Belmont Ave,member,1
Public Rack - S Kostner Ave & W 18th Pl,casual,1
Public Rack - S Menard & W 63rd,member,1
Public Rack - Sacramento & 71st,casual,1
Public Rack - Sayre Ave & 59th St,casual,1
Public Rack - Springfield Ave & 63rd St,casual,1
Public Rack - Springfield Ave & 63rd St,member,1
Public Rack - St Louis & Lincoln,casual,1
Public Rack - State St & 47th st,member,1
Public Rack - The Montessori School of Englewood,member,1
Public Rack - Touhy Ave & Oconto Ave,member,1
Public Rack - Troy & 111th St,casual,1
Public Rack - Union Ave & 111th St,member,1
Public Rack - Vincennes Ave & 99th St,member,1
Public Rack - Wallace St & 112 St,casual,1
Public Rack - Waller Ave & Chicago Ave,member,1
Public Rack - Wentworth Ave & 103rd St,casual,1
Public Rack - Wentworth Ave & 79th St,casual,1
Public Rack - West Chatham Park,casual,1
Public Rack - West Chatham Park,member,1
Public Rack - Western & 74th,member,1
Public Rack - Western Ave & 100th St,member,1
Public Rack - Western Ave & 111th St - SE,casual,1
Public Rack - Western Ave & 116th St,casual,1
Public Rack - Western Ave & 79th St,member,1
Public Rack - Western Ave & 92nd Pl,member,1
Public Rack - Western Blvd & 53rd St,member,1
Public Rack - William J Onahan Public School,member,1
Public Rack - Winona St & Elston Ave,member,1
Public Rack - Yale Ave & 119th St,casual,1
Public Rack - Yates Ave & 100th St,member,1
Pulaski Rd & 40th St,member,1
Pulaski Rd & 41st,member,1
Pullman - Ross Dress for Less,member,1
Pullman Community Center,casual,1
Racine Ave & 83rd St,casual,1
Rhodes Ave & 79th St,casual,1
Rockwell & 111th St,member,1
Sacramento Ave & Greenleaf Ave,member,1
Sacramento Blvd & Division St,casual,1
Sangamon St & 79th St,member,1
"Senka ""Edward Duke"" Park",casual,1
"Senka ""Edward Duke"" Park",member,1
South Shore High School,casual,1
Spaulding Ave & Bryn Mawr Ave,member,1
Spaulding Ave & Foster Ave,member,1
St Louis Ave & Berteau Ave,member,1
State St & 123rd St,member,1
State St & 47th st,member,1
Stewart Ave & 123rd St,casual,1
Stony Island & 95th St,casual,1
Torrence Ave  & 106th St,member,1
Torrence Ave & 103rd St,casual,1
Troy & 111th St,member,1
Tuley (Murray) Park,casual,1
Vincennes Ave & 95th Pl,casual,1
Wentworth Ave & 103rd St,member,1
Wentworth Ave & 79th St,member,1
West Chatham Park,casual,1
Western Ave & 111th St - SW,member,1
Western Ave & 116th St,casual,1
Western Blvd & 53rd St,casual,1
Whippie St & 26th St,member,1
William Rainey Harper High School,member,1
Wolcott Ave & 61st St,member,1
410,casual,2
Abbott Park,member,2
Ada St & 117th St,casual,2
Ada St & 119th St,casual,2
Al Raby School,casual,2
Albany Ave & 103rd St,casual,2
Ashland Ave & 45th St,casual,2
Ashland Ave & 45th St,member,2
Ashland Ave & 46th St,member,2
Ashland Ave & 71st St,casual,2
Austin Ave & Wellington Ave - midblock,casual,2
Avenue J & 106th St,member,2
Back of the Yards Park,casual,2
Baltimore Ave & 133rd St,member,2
California Ave & Devon Ave - NW,member,2
California Ave & Ogden Ave,casual,2
California Ave & Touhy Ave - NW,member,2
Calumet Ave & 103rd St,casual,2
Canty Elementary School,member,2
Central Ave & North Ave,casual,2
Chappel Ave & 71st St,casual,2
Christiana Ave & 111th St,casual,2
Cicero Ave & Altgeld St,casual,2
Colfax Ave & 83rd St,casual,2
Colfax Ave & 83rd St,member,2
Cottage Grove Ave & 91st St,casual,2
Eggleston Ave & 114th St,casual,2
Eggleston Ave & 115th St,member,2
Emerald Ave & 43rd St,member,2
Ewing Ave & 101st St,member,2
Ewing Ave & 105th St,member,2
Ewing Ave & Indianapolis Ave,casual,2
Grand Ave & North Ave,casual,2
Halsted St & 64th St,casual,2
Halsted St & 64th St,member,2
Halsted St & 95th St - SW,member,2
Hamilton Ave & 95th St,member,2
Harvard Ave & 119th St,casual,2
Harvey Ave & North Ave,casual,2
Indiana Ave & 133rd St,member,2
Jeffery Blvd & 83rd St,casual,2
Kedvale Ave & 63rd St,member,2
Kedzie & 103rd St - East,casual,2
Kedzie & 103rd St - West,casual,2
Kenneth Ave & 63rd St,member,2
Kilbourn Ave & Fullerton Ave,member,2
Lafayette Ave & 87th St - NW,casual,2
Langley Ave & 105th Pl,member,2
Laramie Ave & Belmont Ave,casual,2
Laramie Ave & Grand Ave,member,2
Latrobe Ave & Lake St,member,2
Lawrence Ave & 103rd St,casual,2
Lowe Ave & 98th St,casual,2
Martin Luther King Dr & 69th St,casual,2
Menard Ave & Grand Ave,casual,2
Michigan Ave & 110th St,casual,2
Michigan Ave & 119th St,casual,2
Michigan Ave & 96th St,casual,2
Milwaukee Ave & School St,member,2
Morgan St & 87th St,member,2
Morgan St & 95th St,casual,2
Mt Greenwood Library - South,member,2
Nordica Ave & Addison St,casual,2
Normal Ave & 72nd St,casual,2
Oglesby Ave & 95th St,member,2
Parnell Ave & 103rd St,casual,2
Parnell Ave & 119th St,casual,2
Parnell Ave & 98th St,casual,2
Princeton Ave & 43rd St,casual,2
Pubic Rack - Pulaski Rd & 41st,member,2
Public Rack - 2302 S Pulaski Rd,casual,2
Public Rack - 4810 Keeler Ave,member,2
Public Rack - 63rd & Western Ave S,casual,2
Public Rack - 63rd Pl & Narraganssett Ave,member,2
Public Rack - 83rd Pl & Kedzie Ave N,casual,2
Public Rack - Al Raby School,member,2
Public Rack - Albany Ave & 63rd St,casual,2
Public Rack - Ashland Ave & 63rd St,casual,2
Public Rack - Ashland Ave & 73rd St,casual,2
Public Rack - Ashland Ave & 74th St,casual,2
Public Rack - Austin & Higgins,member,2
Public Rack - Ave N & 106th St,casual,2
Public Rack - Avenue J & 102nd St,member,2
Public Rack - Avenue J & 112th St,casual,2
Public Rack - Baltimore Ave & 132nd St,casual,2
Public Rack - Bell Ave & 95th St,member,2
Public Rack - Bensley Ave & 103rd St,member,2
Public Rack - Bryn Mawr Ave & Milwaukee Ave,casual,2
Public Rack - Buffalo Ave & 133rd St,casual,2
Public Rack - Buffalo Ave & 133rd St,member,2
Public Rack - Buffalo Ave & 89th St,member,2
Public Rack - California & 71st,member,2
Public Rack - California & 82nd,casual,2
Public Rack - California Ave & Pershing Rd,member,2
Public Rack - California Ave & Touhy Ave - midblock,casual,2
Public Rack - Central Ave & Corcoran Pl,member,2
Public Rack - Central Ave & Pensacola Ave,member,2
Public Rack - Central Park & Bryn Mawr,casual,2
Public Rack - Central Park & Peterson,casual,2
Public Rack - Central Park Ave & 16th St,member,2
Public Rack - Cicero & 64th,casual,2
Public Rack - Colfax Ave & 83rd St,member,2
Public Rack - Commercial Ave & 89th St,casual,2
Public Rack - Cottage Grove Ave & 92nd St,casual,2
Public Rack - Cottage Grove Ave & 98th St,casual,2
Public Rack - Damen & 81st,casual,2
Public Rack - Damen & 87th,casual,2
Public Rack - Damen Ave & 47th St,casual,2
Public Rack - Devon Ave & Minnehaha Ave (east),casual,2
Public Rack - Eggleston Ave & 115th St,member,2
Public Rack - Ellis Ave & Doty Ave,casual,2
Public Rack - Elston Ave & Kenneth Ave,casual,2
Public Rack - Elston Ave & Kenneth Ave,member,2
Public Rack - Emerald Ave & 45th St,casual,2
Public Rack - Ewing Ave & 106th St,member,2
Public Rack - Ewing Ave & 106th St NW,casual,2
Public Rack - Ewing Ave & 107th St,member,2
Public Rack - Ewing Ave & 99th St,casual,2
Public Rack - Foster Ave & Drake Ave,casual,2
Public Rack - Francisco Ave & Touhy Ave,member,2
Public Rack - Haft Ave & Milwaukee Ave,casual,2
Public Rack - Halsted St & 109th St,member,2
Public Rack - Halsted St & 41st St,member,2
Public Rack - Halsted St & 63rd St,member,2
Public Rack - Harlem and W. 59th,casual,2
Public Rack - Harper Ave & 63rd St,member,2
Public Rack - Harriet E Sayre Public School,member,2
Public Rack - Harvey Ave & North Ave,member,2
Public Rack - Higgins Ave & Neva Ave,casual,2
Public Rack - Homan Ave & 111th St,casual,2
Public Rack - Homan Ave & 62nd Pl,casual,2
Public Rack - Homan Ave & Lake St,casual,2
Public Rack - Homan Ave & Lake St,member,2
Public Rack - Honore St & 87th St - SE,casual,2
Public Rack - Imlay & Milwaukee,member,2
Public Rack - Indiana Ave & 111th St,casual,2
Public Rack - Indiana Ave & 111th St,member,2
Public Rack - Irving Park Rd & Austin Ave,casual,2
Public Rack - Irving Park Rd & Leclaire Ave,casual,2
Public Rack - Irving Park Rd & Menard Ave,casual,2
Public Rack - Jeffery Blvd & 67th St,casual,2
Public Rack - Keating & Peterson,member,2
Public Rack - Kedvale Ave & 26th St,casual,2
Public Rack - Kedvale Ave & 26th St,member,2
Public Rack - Kedvale Ave & 63rd St W,casual,2
Public Rack - Kedvale Ave & 63rd St W,member,2
Public Rack - Kedzie & 103rd St - East,casual,2
Public Rack - Kedzie Ave & 54th Pl,casual,2
Public Rack - Kedzie Ave & 60th St,member,2
Public Rack - Kedzie Ave & 64th St - SW,member,2
Public Rack - Keeler Ave & 26th St,casual,2
Public Rack - Kenneth & Carmen,casual,2
Public Rack - Kenton & Lawrence,casual,2
Public Rack - Kildare Ave & Division Ave,casual,2
Public Rack - Kildare Ave & Washignton Blvd,casual,2
Public Rack - Kimball & Ardmore,casual,2
Public Rack - King Dr & 83rd St,casual,2
Public Rack - Kingston Ave & 75th St,member,2
Public Rack - Kolin Ave & Archer Ave,member,2
Public Rack - Komensky Ave & 59th St,casual,2
Public Rack - Kostner & 83rd,casual,2
Public Rack - Kostner & Bryn Mawr,member,2
Public Rack - Kostner Ave & 16th St,casual,2
Public Rack - Laflin St & 51st St,casual,2
Public Rack - Laflin St &51st ST,member,2
Public Rack - Langley Ave & 79th St,casual,2
Public Rack - Langley Ave & Oakwood Blvd,member,2
Public Rack - Leader & Caldwell,casual,2
Public Rack - Lemont Ave & Keating Ave,casual,2
Public Rack - Longwood Dr & 95th St,member,2
Public Rack - Lotus Ave & Lawrence Ave,member,2
Public Rack - Mackinaw Ave & 106th St,member,2
Public Rack - Mango & Higgins,casual,2
Public Rack - Maplewood Ave & 63rd St,member,2
Public Rack - Menard Ave & Belmont Ave,member,2
Public Rack - Menard Ave & Madison St,casual,2
Public Rack - Milwaukee Ave & Catalpa Ave,casual,2
Public Rack - Milwaukee Ave & Lawrence Ave,casual,2
Public Rack - Milwaukee Ave & Waveland Ave,member,2
Public Rack - Minnehaha Ave & Devon Ave,casual,2
Public Rack - Monticello & Lawrence,casual,2
Public Rack - Morgan St & 87th St,casual,2
Public Rack - Mozart & 79th,casual,2
Public Rack - Nagel & Higgins,casual,2
Public Rack - Neola & Northwest Hwy,casual,2
Public Rack - Newcastle Ave & Belden Ave,member,2
Public Rack - Newcastle Ave & Belmont Ave,member,2
Public Rack - Newland Ave & Diversey Ave,casual,2
Public Rack - Nina Ave & Avondale Ave,member,2
Public Rack - Nordica & Archer,member,2
Public Rack - Normandy Ave & Archer Ave,casual,2
Public Rack - Northwest Hwy & Neva Ave,casual,2
Public Rack - Oketo & Talcott,casual,2
Public Rack - Ozanam Ave & Devon Ave,member,2
Public Rack - Ozark Ave & Addison St,casual,2
Public Rack - Parkside & Archer,member,2
Public Rack - Parnell Ave & 103rd St,member,2
Public Rack - Peterson Ave & Drake Ave,member,2
Public Rack - Prairie Ave & Garfield Blvd N,member,2
Public Rack - Pulaski & 74th,casual,2
Public Rack - Pulaski Rd & 15th St,member,2
Public Rack - Pulaski Rd & 40th St,member,2
Public Rack - Pulaski Rd & 5th Ave,member,2
Public Rack - Pulaski Rd & Flournoy St,casual,2
Public Rack - Pullman - Ross Dress for Less,casual,2
Public Rack - Richmond St & Thorndale Ave,member,2
Public Rack - Robert Fulton Elementary School,member,2
Public Rack - S. Kilpatrick and W. 79th,casual,2
Public Rack - S. New England/ W. 65th,casual,2
Public Rack - Sawyer Ave & Chicago Ave,member,2
Public Rack - Sayer & Northwest Hwy,casual,2
"Public Rack - Senka ""Edward Duke"" Park",member,2
Public Rack - Springfield Ave & Lawrence Ave,casual,2
Public Rack - St Louis & 83rd,casual,2
Public Rack - St Louis & Lincoln,member,2
Public Rack - Strohacker Park,casual,2
Public Rack - Throop St & 58th St,member,2
Public Rack - Troy & 111th St,member,2
Public Rack - Troy & 71st,casual,2
Public Rack - Troy & 71st,member,2
Public Rack - Union Ave & 111th St,casual,2
Public Rack - W. Talcott & N. Oriole,casual,2
Public Rack - Walden Pkwy & 99th St,member,2
Public Rack - Western & 79th,casual,2
Public Rack - Western & 83rd,casual,2
Public Rack - Western Ave & 106th St - East,casual,2
Public Rack - Western Ave & 106th St - West,casual,2
Public Rack - Western Ave & 107th St,member,2
Public Rack - Western Ave & 111th St - SE,member,2
Public Rack - William J Onahan Public School,casual,2
Public Rack - Woodlawn Ave & 63rd St S,member,2
Public Rack - Zapata Academy,member,2
Pulaski Rd & Armitage Ave,member,2
Racine Ave & 74th St,casual,2
Rhodes Ave & 79th St,member,2
Robert Fulton Elementary School,member,2
Rockwell Ave & Touhy Ave,casual,2
Sacramento Blvd & Washington Blvd,member,2
Sawyer Ave & 111th St,member,2
Sawyer Ave & Bryn Mawr Ave - SE,casual,2
St Louis Ave & Berteau Ave,casual,2
Vincennes Ave & 87th St,casual,2
Vincennes Ave & 99th St,casual,2
Wallace St & 112 St,casual,2
Wallace St & 112 St,member,2
Waller Ave & Chicago Ave,casual,2
Washtenaw Ave & 63rd St,member,2
WestChi,member,2
Western Ave & 100th St,member,2
Western Ave & 111th St - NW,member,2
Wood St & 103rd St,member,2
Yale Ave & 119th St,casual,2
Zapata Academy,casual,2
10101 S Stony Island Ave,casual,3
111th St - Morgan Park Metra,member,3
